epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,4931.72,0.74034,0.49686,1.03482,0.98627,0.97691,0.99249,0.88187,0.25097,0.48009,0.45064,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,4993.92,0.74298,0.50359,1.03656,0.98627,0.97806,0.99253,0.88426,0.24957,0.46976,0.44981,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,5056.21,0.73286,0.48576,1.02688,0.98675,0.97707,0.99259,0.88488,0.24836,0.46532,0.44924,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,5118.34,0.73547,0.49127,1.03371,0.98672,0.97814,0.99255,0.88635,0.24772,0.46102,0.44887,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,5180.61,0.73624,0.493,1.02883,0.98593,0.97849,0.9926,0.88603,0.24683,0.46602,0.44849,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,5242.68,0.74004,0.48466,1.03308,0.98677,0.97889,0.99258,0.88682,0.24583,0.46989,0.44802,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,5304.84,0.72681,0.48822,1.02845,0.98624,0.97993,0.99246,0.88726,0.24494,0.47929,0.44738,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,5367,0.72658,0.4777,1.02464,0.98656,0.97993,0.99245,0.88778,0.2443,0.47778,0.44699,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,5429.07,0.72634,0.48696,1.02804,0.9853,0.97993,0.99261,0.88803,0.24357,0.47941,0.44644,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,5489.58,0.71802,0.48181,1.02261,0.98579,0.97948,0.9926,0.88842,0.2428,0.47249,0.44595,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,5550.24,0.71861,0.4804,1.02118,0.98586,0.97964,0.99273,0.8887,0.24203,0.47048,0.44545,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,5610.61,0.71352,0.47431,1.01976,0.98572,0.97993,0.99283,0.88922,0.24125,0.4664,0.44486,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,5671.2,0.7114,0.47202,1.01708,0.98584,0.97988,0.99289,0.89009,0.23993,0.46767,0.44407,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,5732.11,0.72297,0.48264,1.02589,0.98531,0.97993,0.9929,0.89098,0.23927,0.46424,0.44357,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,5792.63,0.71013,0.47142,1.02059,0.98578,0.97948,0.99277,0.89125,0.23891,0.46465,0.44323,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,5853.02,0.71558,0.4754,1.01951,0.98663,0.97993,0.9928,0.89098,0.23833,0.4692,0.44274,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,5913.46,0.69811,0.46825,1.02054,0.98625,0.97993,0.99281,0.89218,0.23766,0.47032,0.44237,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,5973.84,0.70724,0.46985,1.02044,0.98541,0.97993,0.99282,0.8921,0.23712,0.47161,0.44199,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,6034.8,0.6989,0.46924,1.01585,0.98516,0.97993,0.99282,0.89229,0.23651,0.47518,0.44161,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,6097.51,0.69542,0.46467,1.01041,0.98573,0.97948,0.99303,0.89235,0.23609,0.47755,0.44125,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,6160,0.6965,0.45826,1.00558,0.98595,0.97993,0.99304,0.8925,0.23569,0.47869,0.4409,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,6222.77,0.69825,0.4612,1.01417,0.98696,0.97855,0.99302,0.89233,0.23511,0.47741,0.44054,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,6285.13,0.69314,0.46815,1.00871,0.98701,0.97859,0.993,0.89257,0.2346,0.47278,0.44011,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,6347.39,0.68999,0.45342,1.00587,0.98691,0.9793,0.99303,0.89332,0.23409,0.46805,0.43975,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,6409.77,0.68938,0.45687,1.0059,0.9865,0.97904,0.99304,0.8936,0.23374,0.46587,0.43943,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,6472.01,0.68719,0.45599,1.00615,0.98684,0.97909,0.99303,0.89436,0.23353,0.46391,0.43916,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,6534.33,0.68435,0.45694,1.00819,0.98686,0.97856,0.99305,0.89425,0.23301,0.46294,0.4388,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,6594.77,0.6719,0.45475,1.00422,0.98682,0.9789,0.99306,0.89474,0.23265,0.46409,0.43843,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,6655.17,0.67205,0.44365,0.99887,0.98656,0.97931,0.99306,0.89502,0.23238,0.46425,0.43817,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,6715.65,0.67817,0.44333,1.00335,0.98476,0.98171,0.99307,0.89543,0.23205,0.46086,0.43796,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,6776.01,0.65968,0.43703,0.99461,0.98615,0.98171,0.99308,0.89544,0.23165,0.46323,0.4377,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,6837.08,0.66535,0.44631,0.9994,0.98481,0.98199,0.99311,0.89587,0.23111,0.46435,0.43729,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,6897.52,0.67925,0.45427,1.00296,0.98527,0.98144,0.99309,0.89622,0.23069,0.46474,0.437,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,6958.08,0.66208,0.44533,0.9927,0.98615,0.98127,0.99309,0.89573,0.2302,0.46726,0.4367,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,7018.43,0.66553,0.44166,0.99382,0.98598,0.98082,0.99312,0.89692,0.22979,0.46727,0.43645,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,7078.94,0.6607,0.4406,0.99237,0.98658,0.98037,0.99313,0.89733,0.22927,0.46969,0.43612,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,7139.27,0.65287,0.42786,0.9917,0.98672,0.98094,0.99313,0.8968,0.22882,0.46998,0.43581,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,7201.32,0.64625,0.42922,0.98479,0.98715,0.98078,0.99313,0.89786,0.22842,0.4692,0.43548,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,7263.57,0.66175,0.44237,0.99341,0.98669,0.98082,0.99311,0.89884,0.22796,0.46478,0.43519,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,7325.92,0.63383,0.43115,0.98085,0.98666,0.98037,0.99312,0.89886,0.22747,0.46583,0.43494,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,7388.2,0.6397,0.42708,0.97985,0.98683,0.98037,0.99314,0.89869,0.22701,0.46413,0.43465,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,7450.5,0.64171,0.42724,0.98682,0.98722,0.9806,0.99311,0.89946,0.22669,0.4607,0.43441,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,7512.71,0.643,0.42306,0.98486,0.98717,0.98068,0.99316,0.89964,0.2261,0.45793,0.43414,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,7575.05,0.64363,0.42778,0.9885,0.98761,0.98079,0.99316,0.89994,0.22564,0.45704,0.43388,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,7637.31,0.63196,0.4269,0.97839,0.98871,0.98037,0.9932,0.90008,0.22513,0.45395,0.43357,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,7699.71,0.63308,0.41383,0.97718,0.98877,0.98037,0.99316,0.89997,0.2247,0.45315,0.43338,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,7761.87,0.62937,0.41904,0.97843,0.98876,0.98037,0.99318,0.89995,0.22417,0.45031,0.43307,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,7824.2,0.62712,0.41565,0.9787,0.98906,0.9806,0.99318,0.90019,0.22374,0.44834,0.43281,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,7886.42,0.61252,0.40685,0.96571,0.98905,0.9807,0.99315,0.90073,0.22325,0.44355,0.43252,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,7948.14,0.62483,0.41432,0.97509,0.98904,0.98082,0.99318,0.9011,0.22269,0.44102,0.43219,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,8011.56,0.61131,0.40592,0.96884,0.98803,0.98082,0.99319,0.90124,0.2223,0.44168,0.43195,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,8075.05,0.61956,0.41769,0.9748,0.98768,0.98115,0.99321,0.9018,0.22174,0.44033,0.43168,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,8138.42,0.61085,0.4061,0.96763,0.98784,0.98082,0.99323,0.90198,0.22118,0.43873,0.43128,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,8201.8,0.60406,0.39935,0.96676,0.98859,0.98127,0.99321,0.90206,0.22064,0.43469,0.43097,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
